nama_sekolah,npsn,bp,status,guru,pd,kecamatan,wilayah
SMAS IT AL HALIMIYAH JAKARTA,20107191,SMA,Swasta,9,176,Duren sawit,Jakarta Timur
SMAS MUHAMMADIYAH 23 JAKARTA,20103180,SMA,Swasta,32,517,Duren sawit,Jakarta Timur
SMAS PERGURUAN RAKYAT 2 JAKARTA,20103166,SMA,Swasta,18,313,Duren sawit,Jakarta Timur
SMAS PERGURUAN RAKYAT 3 JAKARTA,20103167,SMA,Swasta,15,316,Duren sawit,Jakarta Timur
SMAS PGRI 1 JAKARTA,20103169,SMA,Swasta,1,45,Duren sawit,Jakarta Timur
SMAS PUSAKA 1 JAKARTA,20103200,SMA,Swasta,28,665,Duren sawit,Jakarta Timur
SMAS ST ALEXIUS JAKARTA,20103194,SMA,Swasta,9,54,Duren sawit,Jakarta Timur
SMAN 105 JAKARTA,20103290,SMA,Negeri,50,735,Ciracas,Jakarta Timur
SMAN 58 JAKARTA,20103309,SMA,Negeri,56,858,Ciracas,Jakarta Timur
SMAN 99 JAKARTA,20103256,SMA,Negeri,62,1040,Ciracas,Jakarta Timur
SMA PERGURUAN ADVENT XV,69948476,SMA,Swasta,14,180,Ciracas,Jakarta Timur
SMA TELADAN 1 JAKARTA,20103192,SMA,Swasta,13,136,Ciracas,Jakarta Timur
SMAIT Buahati Islamic School,69967066,SMA,Swasta,13,117,Ciracas,Jakarta Timur
SMAS AL FALAH,20107187,SMA,Swasta,3,27,Ciracas,Jakarta Timur
SMAS BINA DHARMA JAKARTA,20103403,SMA,Swasta,36,789,Ciracas,Jakarta Timur
SMAS CHARTAR BUANA,20112282,SMA,Swasta,12,374,Ciracas,Jakarta Timur
SMAS ISLAM AL-MARUF,20109491,SMA,Swasta,13,222,Ciracas,Jakarta Timur
SMAS LAKESIDE MONTESSORI,69772648,SMA,Swasta,6,2,Ciracas,Jakarta Timur
SMAS PKP,20103183,SMA,Swasta,41,654,Ciracas,Jakarta Timur
SMAS PRATAMA,20107199,SMA,Swasta,4,74,Ciracas,Jakarta Timur
SMAS WIDYA MANGGALA JAKARTA,20103186,SMA,Swasta,22,420,Ciracas,Jakarta Timur
SMAS WIJAYA KUSUMA,20103185,SMA,Swasta,11,409,Ciracas,Jakarta Timur
SMAN 113 JAKARTA,20103286,SMA,Negeri,60,1039,Cipayung,Jakarta Timur
SMAN 64 JAKARTA,20103305,SMA,Negeri,51,753,Cipayung,Jakarta Timur
SMAN UNGGULAN M.H. THAMRIN,20109933,SMA,Negeri,31,236,Cipayung,Jakarta Timur
SMA CIKAL AMRI,NP832573,SMA,Swasta,1,22,Cipayung,Jakarta Timur
SMAS KATOLIK NUSA MELATI,20107193,SMA,Swasta,3,33,Cipayung,Jakarta Timur
SMAS PGRI 24 JAKARTA,20103171,SMA,Swasta,19,248,Cipayung,Jakarta Timur
SMAS PGRI 4 JAKARTA,20103182,SMA,Swasta,27,496,Cipayung,Jakarta Timur
SMAS SANTIKA,20103198,SMA,Swasta,11,127,Cipayung,Jakarta Timur
SMAN 114 JAKARTA,20100804,SMA,Negeri,31,531,Cilincing,Jakarta Utara
SMAN 115 JAKARTA,20100805,SMA,Negeri,34,561,Cilincing,Jakarta Utara
SMAN 52 JAKARTA,20100797,SMA,Negeri,42,849,Cilincing,Jakarta Utara
SMAN 73 JAKARTA,20100795,SMA,Negeri,41,680,Cilincing,Jakarta Utara
SMAN 75 JAKARTA,20100779,SMA,Negeri,45,741,Cilincing,Jakarta Utara
SMAN 83 JAKARTA,20100781,SMA,Negeri,33,637,Cilincing,Jakarta Utara
SMAN 92 JAKARTA,20100782,SMA,Negeri,50,811,Cilincing,Jakarta Utara
SMAS NURUL FALAH JAKARTA,20107387,SMA,Swasta,5,378,Cilincing,Jakarta Utara
SMAS NUSANTARA JAKARTA,20107388,SMA,Swasta,7,131,Cilincing,Jakarta Utara
SMAS YANIIC JAKARTA,20107399,SMA,Swasta,8,88,Cilincing,Jakarta Utara
SMAS YASPI JAKARTA,20100800,SMA,Swasta,6,62,Cilincing,Jakarta Utara
SMAN 34 JAKARTA,20102214,SMA,Negeri,50,857,Cilandak,Jakarta Selatan
SMAN 66 JAKARTA,20102571,SMA,Negeri,50,749,Cilandak,Jakarta Selatan
SMA CENDERAWASIH 1,20107288,SMA,Swasta,34,287,Cilandak,Jakarta Selatan
SMA CHARITAS,20107289,SMA,Swasta,23,239,Cilandak,Jakarta Selatan
SMA ICHTHUS,NP916275,SMA,Swasta,12,52,Cilandak,Jakarta Selatan
SMA ISLAM AL JABR,69935208,SMA,Swasta,12,58,Cilandak,Jakarta Selatan
SMAS AL IZHAR JAKARTA,20107277,SMA,Swasta,37,461,Cilandak,Jakarta Selatan
SMAS BAKTI IDHATA JAKARTA,20107280,SMA,Swasta,25,440,Cilandak,Jakarta Selatan
SMAS DARUL MAARIF JAKARTA,20107291,SMA,Swasta,14,188,Cilandak,Jakarta Selatan
SMAS KELUARGA WIDURI JAKARTA,20107310,SMA,Swasta,15,228,Cilandak,Jakarta Selatan
SMAS PGRI 3 JAKARTA,20107326,SMA,Swasta,18,322,Cilandak,Jakarta Selatan
SMAS PLUS KHADIJAH,20112406,SMA,Swasta,4,79,Cilandak,Jakarta Selatan
SMAS SERUNI DON BOSCO,20107330,SMA,Swasta,15,100,Cilandak,Jakarta Selatan
SMAN 33 JAKARTA,20101620,SMA,Negeri,45,751,Cengkareng,Jakarta Barat
SMAN 96 JAKARTA,20101583,SMA,Negeri,46,751,Cengkareng,Jakarta Barat
SMA LAMAHOLOT,20101314,SMA,Swasta,5,80,Cengkareng,Jakarta Barat
SMAS 2 KRISTEN KALAM KUDUS,20104426,SMA,Swasta,15,144,Cengkareng,Jakarta Barat
SMAS 2 SANTO KRISTOFORUS,20101615,SMA,Swasta,33,507,Cengkareng,Jakarta Barat
SMAS 2 SANTO LEO,20101613,SMA,Swasta,11,201,Cengkareng,Jakarta Barat
SMAS AL HUDA CENGKARENG,20101340,SMA,Swasta,32,840,Cengkareng,Jakarta Barat
SMAS BAPTIS CENGKARENG INDAH,20101339,SMA,Swasta,6,89,Cengkareng,Jakarta Barat
SMAS CAHAYA FADILAH,20104409,SMA,Swasta,18,229,Cengkareng,Jakarta Barat
SMAS CENGKARENG 1,20101329,SMA,Swasta,18,532,Cengkareng,Jakarta Barat
SMAS CINTA KASIH TZU CHI,20109971,SMA,Swasta,18,273,Cengkareng,Jakarta Barat
SMAS DUTA BANGSA,20104411,SMA,Swasta,0,26,Cengkareng,Jakarta Barat
SMAS HARAPAN JAYA,20101350,SMA,Swasta,12,148,Cengkareng,Jakarta Barat
SMAS IMPIAN BUNDA,20104416,SMA,Swasta,9,65,Cengkareng,Jakarta Barat
SMAS IP YAKIN,20101349,SMA,Swasta,14,278,Cengkareng,Jakarta Barat
SMAS KASIH KARUNIA,20109326,SMA,Swasta,14,20,Cengkareng,Jakarta Barat
SMAS KATHOLIK BINTANG KEJORA,20104422,SMA,Swasta,13,103,Cengkareng,Jakarta Barat
SMAS NASIONAL NUSANTARA,20104434,SMA,Swasta,13,70,Cengkareng,Jakarta Barat
SMAS PELITA KASIH,20110265,SMA,Swasta,7,115,Cengkareng,Jakarta Barat
SMAS TRINITAS JAKARTA,20101607,SMA,Swasta,5,41,Cengkareng,Jakarta Barat
SMAS VIANNEY,20101618,SMA,Swasta,18,219,Cengkareng,Jakarta Barat
SMAN 30 JAKARTA,20100224,SMA,Negeri,49,845,Cempaka Putih,Jakarta Pusat
SMAN 77 JAKARTA,20100201,SMA,Negeri,42,647,Cempaka Putih,Jakarta Pusat
SMAS  PERGURUAN KSATRYA,20100193,SMA,Swasta,30,425,Cempaka Putih,Jakarta Pusat
SMAS TAMAN MADYA 5 JAKARTA,20100196,SMA,Swasta,6,132,Cempaka Putih,Jakarta Pusat
SMAN 102 JAKARTA,20103293,SMA,Negeri,38,743,Cakung,Jakarta Timur
SMAN 107 JAKARTA,20103288,SMA,Negeri,42,713,Cakung,Jakarta Timur
SMAN 11 JAKARTA,20103287,SMA,Negeri,37,641,Cakung,Jakarta Timur
SMAN 76 JAKARTA,20103302,SMA,Negeri,34,636,Cakung,Jakarta Timur
SMAN 89 JAKARTA,20103299,SMA,Negeri,45,714,Cakung,Jakarta Timur
SMAS DIPONEGORO 2 JAKARTA,20103204,SMA,Swasta,20,315,Cakung,Jakarta Timur
SMAS NAHDLATUL WATHAN,20107194,SMA,Swasta,9,130,Cakung,Jakarta Timur
SMAS NURUL HUDA JAKARTA,20103178,SMA,Swasta,1,49,Cakung,Jakarta Timur
SMAS PEMBANGUNAN 3 JATINEGARA,20103173,SMA,Swasta,3,49,Cakung,Jakarta Timur
SMAS PGRI 10 JAKARTA,20103170,SMA,Swasta,3,16,Cakung,Jakarta Timur
SMAS SANTO YOSEPH JAKARTA,20103196,SMA,Swasta,19,388,Cakung,Jakarta Timur
SMAS SAPTA KHARISMA JAKARTA,20103195,SMA,Swasta,2,46,Cakung,Jakarta Timur
SMAS YP IPPI JAKARTA,20103295,SMA,Swasta,20,200,Cakung,Jakarta Timur
SMAS JUBILEE,20107380,SPK SMA,Swasta,31,386,Tanjung Priok,Jakarta Utara
SMA MAHATMA GANDHI SCHOOL,20100194,SPK SMA,Swasta,14,225,Sawah Besar,Jakarta Pusat
SMAS SEVILLA,20112284,SPK SMA,Swasta,15,93,Pulo Gadung,Jakarta Timur
SMA BINA BANGSA SCHOOL PANTAI INDAH KAPUK,20112462,SPK SMA,Swasta,16,357,Penjaringan,Jakarta Utara
SMA BINA TUNAS BANGSA,20107370,SPK SMA,Swasta,8,96,Penjaringan,Jakarta Utara
SMA ACG SCHOOL JAKARTA,69921926,SPK SMA,Swasta,5,27,Pasar Minggu,Jakarta Selatan
SMA AUSTRALIAN INDEPENDENT SCHOOL INDONESIA JAKARTA,69889089,SPK SMA,Swasta,20,105,Pasar Minggu,Jakarta Selatan
SMA SAMPOERNA,69949830,SPK SMA,Swasta,19,309,Pancoran,Jakarta Selatan
SMA BUNDA MULIA  SCHOOL,69888992,SPK SMA,Swasta,19,89,Pademangan,Jakarta Utara
SMAS GANDHI ANCOL,20100599,SPK SMA,Swasta,26,342,Pademangan,Jakarta Utara
SMA NEW ZEALAND INDEPENDENT SCHOOL,69889003,SPK SMA,Swasta,0,13,Mampang Prapatan,Jakarta Selatan
SMA PELITA HARAPAN INTERNASIONAL,69874086,SPK SMA,Swasta,4,48,Mampang Prapatan,Jakarta Selatan
SMA Raffles Christian School Kebon Jeruk,69923322,SPK SMA,Swasta,6,39,Kembangan,Jakarta Barat
SMAK IPEKA INTEGRATED CHRISTIAN SCHOOL,20104423,SPK SMA,Swasta,18,163,Kembangan,Jakarta Barat
SMAS TUNAS MUDA,20104439,SPK SMA,Swasta,8,198,Kembangan,Jakarta Barat
SMAS UNIVERSAL,20107251,SPK SMA,Swasta,13,180,Kemayoran,Jakarta Pusat
THE GANDHI MEMORIAL INTERNATIONAL SCHOOL,69758962,SPK SMA,Swasta,8,310,Kemayoran,Jakarta Pusat
Jakarta Taipei School,NP996636,SPK SMA,Swasta,4,59,Kelapa Gading,Jakarta Utara
SMA MAHATMA GADING INTERCULTURAL SCHOOL,69889105,SPK SMA,Swasta,4,52,Kelapa Gading,Jakarta Utara
SMA NORTH JAKARTA INTERCULTURAL SCHOOL,69856892,SPK SMA,Swasta,2,22,Kelapa Gading,Jakarta Utara
SMA Raffles Christian School Kelapa Gading,69939320,SPK SMA,Swasta,7,109,Kelapa Gading,Jakarta Utara
SMA SAINT PETER SCHOOL,69879021,SPK SMA,Swasta,5,29,Kelapa Gading,Jakarta Utara
SMAK PENABUR KELAPA GADING,20177804,SPK SMA,Swasta,20,277,Kelapa Gading,Jakarta Utara
SMA D Royal Moroco Integrative Islamic School,69930247,SPK SMA,Swasta,4,14,Kebyoran baru,Jakarta Selatan
SMA MENTARI INTERCULTURAL SCHOOL,69917278,SPK SMA,Swasta,14,202,Kebyoran baru,Jakarta Selatan
SMA BINA BANGSA SCHOOL,20104408,SPK SMA,Swasta,17,146,Kebon Jeruk,Jakarta Barat
SMA Raffles Christian School Pondok Indah,69904250,SPK SMA,Swasta,12,173,Kebayoran Lama,Jakarta Selatan
SMAS BINA NUSANTARA,20107283,SPK SMA,Swasta,10,443,Kebayoran Lama,Jakarta Selatan
SMAS KANAAN GLOBAL SCHOOL,69757184,SPK SMA,Swasta,13,82,Kali Deres,Jakarta Barat
SMAS KRISTEN 8 PENABUR,20177805,SPK SMA,Swasta,15,113,Grogol Petamburan,Jakarta Barat
SPK SMA HIGHFIELD,69948835,SPK SMA,Swasta,1,59,Duren sawit,Jakarta Timur
SMA ACS JAKARTA,20107232,SPK SMA,Swasta,12,118,Cipayung,Jakarta Timur
SMAS CITA BUANA,20107290,SPK SMA,Swasta,15,115,Jagakarsa ,Jakarta Selatan
SMA JAKARTA INTERCULTURAL SCHOOL,69853555,SPK SMA,Swasta,51,663,Cilandak,Jakarta Selatan
"SMA SINGAPORE SCHOOL, BONA VISTA",69896714,SPK SMA,Swasta,0,51,Cilandak,Jakarta Selatan
SMAS HIGH SCOPE,20109513,SPK SMA,Swasta,18,278,Cilandak,Jakarta Selatan
SMAS NARADA,69754377,SPK SMA,Swasta,20,98,Cengkareng,Jakarta Barat
